grupo,acronym,nome,url,parser,status,n_itens,html_kb,causa,snippet
TREs,TRE-PR,TRE-PR - Notícias,https://www.tre-pr.jus.br/comunicacao/noticias,generic_news,OK,12,157.9,,
TREs,TRE-RJ,TRE-RJ - Notícias,https://www.tre-rj.jus.br/comunicacao/noticias,generic_news,OK,12,135.4,,
TREs,TRE-RN,TRE-RN - Notícias,https://www.tre-rn.jus.br/comunicacao/noticias,generic_news,OK,12,140.4,,
TREs,TRE-RO,TRE-RO - Notícias,https://www.tre-ro.jus.br/comunicacao/noticias,generic_news,OK,12,132.8,,
TREs,TRE-RR,TRE-RR - Notícias,https://www.tre-rr.jus.br/comunicacao/noticias,generic_news,OK,12,134.3,,
TREs,TRE-RS,TRE-RS - Notícias,https://www.tre-rs.jus.br/comunicacao/noticias,generic_news,OK,11,132.2,,
TREs,TRE-SC,TRE-SC - Notícias,https://www.tre-sc.jus.br/comunicacao/noticias,generic_news,OK,12,130.2,,
TREs,TRE-SE,TRE-SE - Notícias,https://www.tre-se.jus.br/comunicacao/noticias,generic_news,OK,12,131.9,,
TREs,TRE-SP,TRE-SP - Notícias,https://www.tre-sp.jus.br/comunicacao/noticias,generic_news,OK,12,139.0,,
TREs,TRE-TO,TRE-TO - Notícias,https://www.tre-to.jus.br/comunicacao/noticias,generic_news,OK,12,139.3,,
